word,tf-idf
pattern,0.981132075471698
located,0.9714285714285714
vital,0.9696969696969696
genetic,0.965034965034965
symptom,0.9629629629629628
resolved,0.96
non,0.9565217391304348
mutation,0.9565217391304348
dose,0.9523809523809524
doctors,0.9523809523809524
event,0.9508196721311476
pre,0.9473684210526316
lungs,0.9473684210526316
substance,0.9473684210526316
fusion,0.9473684210526316
reactions,0.9473684210526316
origin,0.9454545454545454
1-2,0.9411764705882352
attack,0.9411764705882352
usually,0.9411764705882352
after,0.9346733668341708
morphological,0.9333333333333332
picture,0.9333333333333332
shortened,0.9333333333333332
mother,0.9333333333333332
morphology,0.9333333333333332
fatality,0.9333333333333332
sustained,0.9230769230769232
soon,0.9230769230769232
excessive,0.9230769230769232
residual,0.9230769230769232
aberrant,0.9230769230769232
marked,0.9230769230769232
indexation,0.9230769230769232
minimize,0.9230769230769232
body,0.9158878504672896
acting,0.9090909090909092
detailing,0.9090909090909092
phenotypes,0.9090909090909092
sorry,0.9090909090909092
premature,0.9090909090909092
physiology,0.9090909090909092
suppression,0.9090909090909092
king,0.9090909090909092
religious,0.9090909090909092
anti,0.9090909090909092
modest,0.9090909090909092
ebv,0.9090909090909092
growth,0.9032258064516128
initial,0.8925619834710744
dentistry,0.8888888888888888
intense,0.8888888888888888
approached,0.8888888888888888
membrane,0.8888888888888888
passive,0.8888888888888888
ta,0.8888888888888888
enzymes,0.8888888888888888
distant,0.8888888888888888
serological,0.8888888888888888
inheritance,0.8888888888888888
scarce,0.8888888888888888
eventual,0.8888888888888888
hypothesized,0.8888888888888888
shortly,0.8888888888888888
compromise,0.8888888888888888
originate,0.8888888888888888
immune,0.8852459016393442
intervention,0.8737864077669902
successful,0.8705882352941177
definitive,0.8695652173913043
duplication,0.8695652173913043
managing,0.8695652173913043
metabolic,0.8695652173913043
2012,0.8679245283018868
left,0.8663101604278075
showed,0.8648648648648649
differentiate,0.8571428571428571
smears,0.8571428571428571
round,0.8571428571428571
duration,0.8571428571428571
mitochondria,0.8571428571428571
margin,0.8571428571428571
branches,0.8571428571428571
writes,0.8571428571428571
eur,0.8571428571428571
​​​​​​​,0.8571428571428571
presentations,0.8571428571428571
vietnamese,0.8571428571428571
supplementation,0.8571428571428571
